,n_features,k_value,n_folds,avg_rmse,std_rmse
228,5.0,13.0,10.0,11.012222413115545,1.0799545342351362
229,5.0,14.0,10.0,11.000548475740027,1.10438387264689
230,5.0,15.0,10.0,10.99288845496638,1.1095331633559367
231,5.0,16.0,10.0,10.951920441726461,1.1371885804542037
232,5.0,17.0,10.0,10.951917924487653,1.161159056364802
233,5.0,18.0,10.0,10.937664213043611,1.1591706332754337
234,5.0,19.0,10.0,10.93329336572911,1.1835500710734446
235,5.0,20.0,10.0,10.905997144969895,1.2013782356330227
236,5.0,21.0,10.0,10.878256189340338,1.2071456257181281
237,5.0,22.0,10.0,10.870026379368108,1.2059876611365863
238,5.0,23.0,10.0,10.85301042098679,1.2166308741877394
239,5.0,24.0,10.0,10.841735373926081,1.2026896776753255
240,5.0,25.0,10.0,10.835482457663767,1.2075772952448123
241,5.0,26.0,10.0,10.813448577424996,1.206361249338161
242,5.0,27.0,10.0,10.823653189394575,1.2207153354039804
243,5.0,28.0,10.0,10.810994906632228,1.2277089302556217
244,5.0,29.0,10.0,10.805150115830177,1.2281390098192393
245,5.0,30.0,10.0,10.80827777296776,1.2456778871735428
246,5.0,31.0,10.0,10.814025303498486,1.2419431332155324
247,5.0,32.0,10.0,10.812749506127386,1.2367446830815507
248,5.0,33.0,10.0,10.815385941311439,1.234693270561534
249,5.0,34.0,10.0,10.806222468945046,1.232606480230546
250,5.0,35.0,10.0,10.801708831778187,1.2418208234431658
251,5.0,36.0,10.0,10.805099968516352,1.250993196963044
252,5.0,37.0,10.0,10.789670805410896,1.249177942122074
253,5.0,38.0,10.0,10.795539907458341,1.2579489874746825
254,5.0,39.0,10.0,10.792737890668851,1.2668733670617434
255,5.0,40.0,10.0,10.802222911376008,1.2802861363668012
256,5.0,41.0,10.0,10.796242834273443,1.290972523059193
257,5.0,42.0,10.0,10.787327986677276,1.2765016902504829
258,5.0,43.0,10.0,10.790601130059157,1.2771856799790187
259,5.0,44.0,10.0,10.791609398177796,1.2808898991806188
260,5.0,45.0,10.0,10.790992048378438,1.2766464078665385
261,5.0,46.0,10.0,10.800239430722943,1.2840325085693596
262,5.0,47.0,10.0,10.787907087580187,1.2842006690877663
263,5.0,48.0,10.0,10.788456223172407,1.2888079287443783
264,5.0,49.0,10.0,10.790316854782592,1.2933917593125512
265,5.0,50.0,10.0,10.78822335796559,1.2888593578462026
266,5.0,51.0,10.0,10.791778118634332,1.2875754362079714
267,5.0,52.0,10.0,10.794314883339277,1.2831401676268168
268,5.0,53.0,10.0,10.798118983596979,1.2901384876850923
269,5.0,54.0,10.0,10.792992430042547,1.287142565945385
270,6.0,1.0,10.0,14.11079009096477,1.2572538299884042
271,6.0,2.0,10.0,12.630323730132359,0.9309943989776316
272,6.0,3.0,10.0,11.995476833219325,1.0183175272562992
273,6.0,4.0,10.0,11.57805691320145,1.091511749382743
274,6.0,5.0,10.0,11.380164234172373,1.115752545666422
275,6.0,6.0,10.0,11.200797290544001,1.0542202562684915
276,6.0,7.0,10.0,11.177604756901417,1.0313068323919732
277,6.0,8.0,10.0,11.111680399255384,0.9675387560057319
278,6.0,9.0,10.0,11.060445354032257,0.9992708633046865
279,6.0,10.0,10.0,11.016000402155825,1.016982136439927
280,6.0,11.0,10.0,10.969246520272986,1.0691360126830016
281,6.0,12.0,10.0,10.95052343522699,1.100363380205448
282,6.0,13.0,10.0,10.902708618002627,1.1301088904001755
283,6.0,14.0,10.0,10.894035156420777,1.1570760551960615
284,6.0,15.0,10.0,10.89774755295982,1.1532704070336233
285,6.0,16.0,10.0,10.887235018846454,1.1752684789712533
286,6.0,17.0,10.0,10.880491465362587,1.1797743655243593
287,6.0,18.0,10.0,10.853705296149723,1.2076920017467103
288,6.0,19.0,10.0,10.82607956085133,1.2113199345165577
289,6.0,20.0,10.0,10.798617927920128,1.2250933963729114
290,6.0,21.0,10.0,10.795171317513729,1.2240064829634905
291,6.0,22.0,10.0,10.779306727256099,1.2357422350957465
292,6.0,23.0,10.0,10.776544381880896,1.24132803216071
293,6.0,24.0,10.0,10.756913861899024,1.2362775582263146
294,6.0,25.0,10.0,10.750947906624123,1.2373022517295582
295,6.0,26.0,10.0,10.739100261057654,1.2346816531743945
296,6.0,27.0,10.0,10.72710419959083,1.2351097647128415
297,6.0,28.0,10.0,10.713170447907697,1.2316800527500453
298,6.0,29.0,10.0,10.720457545992948,1.230717060136096
299,6.0,30.0,10.0,10.717076037035405,1.2375504743053085
300,6.0,31.0,10.0,10.71794554219003,1.2376397720465524
301,6.0,32.0,10.0,10.728323710142465,1.2565019661310999
302,6.0,33.0,10.0,10.71808807550088,1.2533142857778985
303,6.0,34.0,10.0,10.718060951412069,1.2557465152604892
304,6.0,35.0,10.0,10.710357304851211,1.2706333498314526
305,6.0,36.0,10.0,10.708745065562905,1.2709731325210438
306,6.0,37.0,10.0,10.7158059769723,1.279563572465529
307,6.0,38.0,10.0,10.721092504158765,1.289152089224065
308,6.0,39.0,10.0,10.714648957932017,1.2986796540371641
309,6.0,40.0,10.0,10.725213267248876,1.3049248187475326
310,6.0,41.0,10.0,10.722733811875083,1.2992775757219812
311,6.0,42.0,10.0,10.723585923063286,1.2989168341003186
312,6.0,43.0,10.0,10.721337655049478,1.2932003340190712
313,6.0,44.0,10.0,10.727796877782291,1.2997283252226544
314,6.0,45.0,10.0,10.735953081258845,1.3042460643668257
315,6.0,46.0,10.0,10.72671643246112,1.3070441595082714
316,6.0,47.0,10.0,10.730150869910265,1.3094093629519539
317,6.0,48.0,10.0,10.731558542796806,1.3102442545133266
318,6.0,49.0,10.0,10.736363692358822,1.304670070695756
319,6.0,50.0,10.0,10.734255854021116,1.2997773777307227
320,6.0,51.0,10.0,10.736722425987619,1.3112791294546686
321,6.0,52.0,10.0,10.743677494457025,1.3095989633999434
322,6.0,53.0,10.0,10.744756594106743,1.312975723755542
323,6.0,54.0,10.0,10.748531132343725,1.3189120116983892
324,7.0,1.0,10.0,14.142706535116528,1.2438492318947185
325,7.0,2.0,10.0,12.476305815365736,0.980714972770191
326,7.0,3.0,10.0,11.795314306137545,1.0344679684046283
327,7.0,4.0,10.0,11.442950434161283,1.0707885559207506
328,7.0,5.0,10.0,11.327756633099078,1.095866895066038
329,7.0,6.0,10.0,11.158213226043397,1.1160300530879874
330,7.0,7.0,10.0,11.017077369691645,1.107248708439678
331,7.0,8.0,10.0,10.984393003403516,1.0987345345840749
332,7.0,9.0,10.0,10.93548527092399,1.1489548114670272
333,7.0,10.0,10.0,10.926908706860816,1.1508637269444821
334,7.0,11.0,10.0,10.895205961604068,1.1955418381175384
335,7.0,12.0,10.0,10.85988000789943,1.1915049208679
336,7.0,13.0,10.0,10.835269623470861,1.187365971118295
337,7.0,14.0,10.0,10.836698743394631,1.2055463848066061
338,7.0,15.0,10.0,10.82066684186865,1.2309013395500839
339,7.0,16.0,10.0,10.80043277669169,1.228859238150233
340,7.0,17.0,10.0,10.771091107645988,1.243693330923396
341,7.0,18.0,10.0,10.767793745117485,1.2584278432690446
342,7.0,19.0,10.0,10.754312430531602,1.23355474070156
343,7.0,20.0,10.0,10.735049235399122,1.2375576389014102
344,7.0,21.0,10.0,10.745374572683332,1.2327804125845299
345,7.0,22.0,10.0,10.73477480910815,1.2345608981103935
346,7.0,23.0,10.0,10.728770796844028,1.2236350764731279
347,7.0,24.0,10.0,10.728895345379083,1.2347826989697195
348,7.0,25.0,10.0,10.730172183211035,1.2438039096433253
349,7.0,26.0,10.0,10.73157024506968,1.2554702333307128
350,7.0,27.0,10.0,10.723310381359074,1.2657773889265165
351,7.0,28.0,10.0,10.715608920576264,1.2692831300837055
352,7.0,29.0,10.0,10.709621589703502,1.2646021381156825
353,7.0,30.0,10.0,10.709881670815657,1.2597054527785048
354,7.0,31.0,10.0,10.71036539186242,1.272197565326976
355,7.0,32.0,10.0,10.713006319090903,1.2823927732555769
356,7.0,33.0,10.0,10.71843666717679,1.2811180986641773
357,7.0,34.0,10.0,10.718191497016866,1.2918169727629465
358,7.0,35.0,10.0,10.710245287557868,1.2870704957293881
359,7.0,36.0,10.0,10.708939516333132,1.2876743372652153
360,7.0,37.0,10.0,10.717995821683513,1.2906078552959501
361,7.0,38.0,10.0,10.715413713307212,1.293863217181496
362,7.0,39.0,10.0,10.717587443916017,1.297751779014111
363,7.0,40.0,10.0,10.72214063861622,1.298321439712626
364,7.0,41.0,10.0,10.716148140944698,1.3014623335439708
365,7.0,42.0,10.0,10.721270008156875,1.2992164420082888
366,7.0,43.0,10.0,10.721421908062176,1.3030245908240206
367,7.0,44.0,10.0,10.724678650384886,1.3049209805999902
368,7.0,45.0,10.0,10.73334146148004,1.3101064331144896
369,7.0,46.0,10.0,10.729931600225274,1.3070391790549338
370,7.0,47.0,10.0,10.732178634661775,1.3080868355319522
371,7.0,48.0,10.0,10.736918832052925,1.3057355674310265
372,7.0,49.0,10.0,10.740437372949764,1.30226675635643
373,7.0,50.0,10.0,10.73705209359381,1.2965118923354062
374,7.0,51.0,10.0,10.738069062113656,1.3000811337746716
375,7.0,52.0,10.0,10.737736161038253,1.2993530362477737
376,7.0,53.0,10.0,10.736777598671154,1.3002678939926493
377,7.0,54.0,10.0,10.736660231334202,1.3069691445479137
378,8.0,1.0,10.0,13.240585364207481,1.0081815760453947
379,8.0,2.0,10.0,11.392161560487727,0.9850617794039995
380,8.0,3.0,10.0,10.883322889088818,0.9622134343747906
381,8.0,4.0,10.0,10.604768201620962,1.032718469665862
382,8.0,5.0,10.0,10.579905429340972,1.1148447977588058
383,8.0,6.0,10.0,10.444486594835105,1.0913867140056774
384,8.0,7.0,10.0,10.439302397965855,1.1263222711552334
385,8.0,8.0,10.0,10.443332842578064,1.128281442765755
386,8.0,9.0,10.0,10.412366375347995,1.159030568012622
387,8.0,10.0,10.0,10.349893068847292,1.1135189010735917
388,8.0,11.0,10.0,10.313451313160494,1.1256509036096494
389,8.0,12.0,10.0,10.28217385933313,1.150432307395378
390,8.0,13.0,10.0,10.2863082511138,1.1615892364043514
391,8.0,14.0,10.0,10.27707746969976,1.1788328045349663
392,8.0,15.0,10.0,10.253505832809383,1.1488401060440805
393,8.0,16.0,10.0,10.222192472249507,1.1773718437178498
394,8.0,17.0,10.0,10.229367642629414,1.1784186999255928
395,8.0,18.0,10.0,10.201630924844764,1.2052688677633223
396,8.0,19.0,10.0,10.158563385571904,1.2211181249952558
397,8.0,20.0,10.0,10.161570355442425,1.2319907279369147
398,8.0,21.0,10.0,10.153800078838163,1.2258553964543832
399,8.0,22.0,10.0,10.156053585778176,1.2269814961095427
400,8.0,23.0,10.0,10.163354855845125,1.223083042568435
401,8.0,24.0,10.0,10.165511654425124,1.228201191312152
402,8.0,25.0,10.0,10.155091939163958,1.2205083089254485
403,8.0,26.0,10.0,10.131158773580003,1.1872405729216196
404,8.0,27.0,10.0,10.143787703225245,1.1997633696792798
405,8.0,28.0,10.0,10.139409353083865,1.2026091483055061
406,8.0,29.0,10.0,10.146476613066392,1.2002571699618438
407,8.0,30.0,10.0,10.139061079054269,1.1977569708234843
408,8.0,31.0,10.0,10.142168468439266,1.20815964882355
409,8.0,32.0,10.0,10.13872635495434,1.2131838924965714
410,8.0,33.0,10.0,10.147353124617764,1.2152152298841985
411,8.0,34.0,10.0,10.147323219565578,1.2051477008945723
412,8.0,35.0,10.0,10.140632826849593,1.2021867672213473
413,8.0,36.0,10.0,10.144216970977194,1.2001109837919786
414,8.0,37.0,10.0,10.143481987362769,1.206911994174932
415,8.0,38.0,10.0,10.146589312906151,1.20947147217251
416,8.0,39.0,10.0,10.148464969014313,1.2125087719956733
417,8.0,40.0,10.0,10.152904961841463,1.232540846942829
418,8.0,41.0,10.0,10.156921817418475,1.241329121260328
419,8.0,42.0,10.0,10.160895969764637,1.2479381916772554
420,8.0,43.0,10.0,10.147514316032368,1.247852457976947
421,8.0,44.0,10.0,10.141120780928981,1.2539294022027954
422,8.0,45.0,10.0,10.14752038945299,1.250714335782508
423,8.0,46.0,10.0,10.15016748299516,1.2566342537264188
424,8.0,47.0,10.0,10.143639074863984,1.2551815788355645
425,8.0,48.0,10.0,10.146074726854204,1.2562479914425537
426,8.0,49.0,10.0,10.14869863591035,1.2600660168579463
427,8.0,50.0,10.0,10.154500968870876,1.263376670274712
428,8.0,51.0,10.0,10.155964790831058,1.2674234254796073
429,8.0,52.0,10.0,10.156445047342999,1.2729657333167228
430,8.0,53.0,10.0,10.161340378382805,1.2718074511910076
431,8.0,54.0,10.0,10.168305927329154,1.2690170995769798
432,9.0,1.0,10.0,13.099658094213254,1.085095580936683
433,9.0,2.0,10.0,11.275522408500732,1.0142619675010882
434,9.0,3.0,10.0,10.839527602776576,0.9562261283557882
435,9.0,4.0,10.0,10.511062636455215,1.0096744661420418
436,9.0,5.0,10.0,10.458048325602897,1.0441543743508273
437,9.0,6.0,10.0,10.373904228892258,1.0670085549867947
438,9.0,7.0,10.0,10.401207964294802,1.1317650403090898
439,9.0,8.0,10.0,10.344309289067507,1.1601307412745467
440,9.0,9.0,10.0,10.343950398943068,1.1521424578753023
441,9.0,10.0,10.0,10.287617585052303,1.1552058812534045
442,9.0,11.0,10.0,10.25752085032224,1.1370391381655252
443,9.0,12.0,10.0,10.262897610546608,1.1348116035486844
444,9.0,13.0,10.0,10.234137222264923,1.160913416112082
445,9.0,14.0,10.0,10.219710441101785,1.1828449669083698
446,9.0,15.0,10.0,10.191384585617929,1.172142950830027
447,9.0,16.0,10.0,10.159634711874677,1.189398732716796
448,9.0,17.0,10.0,10.15177535601973,1.1929828540825191
449,9.0,18.0,10.0,10.142399656189014,1.20902035015069
450,9.0,19.0,10.0,10.108823338892481,1.2216261626975862
